macd krot3 21,55

2016-04-20, 11.69, 10.87, 0.82, 
2016-04-22, 11.70, 10.90, 0.80, 
2016-04-25, 11.71, 10.93, 0.78, 
2016-04-26, 11.76, 10.97, 0.79, 
2016-04-27, 11.83, 11.02, 0.81, 
2016-04-28, 11.91, 11.08, 0.83, 
2016-04-29, 11.99, 11.14, 0.85, 
2016-05-02, 12.08, 11.20, 0.88, 
2016-05-03, 12.12, 11.24, 0.88, 
2016-05-04, 12.14, 11.28, 0.86, 
2016-05-05, 12.11, 11.29, 0.82, 
2016-05-06, 12.09, 11.30, 0.79, 
2016-05-09, 12.08, 11.32, 0.76, 
2016-05-10, 12.11, 11.36, 0.75, 
2016-05-11, 12.10, 11.38, 0.72, 
2016-05-12, 12.11, 11.41, 0.70, 
2016-05-13, 12.07, 11.41, 0.66, 
2016-05-16, 12.03, 11.41, 0.62, 
2016-05-17, 11.95, 11.40, 0.55, 
2016-05-18, 11.90, 11.40, 0.50, 
2016-05-19, 11.88, 11.40, 0.48, 
2016-05-20, 11.84, 11.40, 0.44, 
2016-05-23, 11.76, 11.39, 0.37, 
2016-05-24, 11.72, 11.39, 0.33, 
2016-05-25, 11.65, 11.38, 0.27, 
2016-05-27, 11.59, 11.37, 0.22, 
2016-05-30, 11.53, 11.36, 0.17, 
2016-05-31, 11.49, 11.36, 0.13, 
2016-06-01, 11.47, 11.36, 0.11, 
2016-06-02, 11.58, 11.40, 0.18, 
2016-06-03, 11.70, 11.45, 0.25, 
2016-06-06, 11.79, 11.49, 0.30, 
2016-06-07, 11.88, 11.53, 0.35, 
2016-06-08, 12.01, 11.59, 0.42, 
2016-06-09, 12.14, 11.65, 0.49, 
2016-06-10, 12.22, 11.70, 0.52, 
2016-06-13, 12.30, 11.74, 0.56, 
2016-06-14, 12.37, 11.78, 0.59, 
2016-06-15, 12.40, 11.81, 0.59, 
2016-06-16, 12.44, 11.84, 0.60, 
2016-06-17, 12.46, 11.87, 0.59, 
2016-06-20, 12.52, 11.91, 0.61, 
2016-06-21, 12.63, 11.97, 0.66, 
2016-06-22, 12.69, 12.01, 0.68, 
2016-06-23, 12.79, 12.07, 0.72, 
2016-06-24, 12.89, 12.13, 0.76, 
2016-06-27, 12.96, 12.18, 0.78, 
2016-06-28, 13.00, 12.22, 0.78, 
